word,node-label,new-val
(คลาน - VERB),neg,-0.7697749196141479
(ต่อเนื่อง - ADV),neg,-0.7691318327974277
(พอง - VERB),neg,-0.7684887459807074
(อ้าง - ADV),neg,-0.7678456591639872
(เสื้อผ้า - ADJ),neg,-0.7672025723472669
(สกปรก - VERB),neg,-0.7665594855305466
(ฟื้น - VERB),neg,-0.7659163987138263
(ละเมิด - VERB),neg,-0.7652733118971061
(แอ็คชั่น - VERB),neg,-0.7646302250803858
(ตุ๊กตุ๊กสั้น - ADJ),neg,-0.7639871382636656
(กล่อง - VERB),neg,-0.7633440514469454
(สำเร็จ - VERB),neg,-0.7627009646302251
(เซ่อ - VERB),neg,-0.7620578778135049
(ยาวเว้น - VERB),neg,-0.7614147909967846
(คัดสรร - VERB),neg,-0.7607717041800643
(โทรโข่ง - VERB),neg,-0.760128617363344
(อ้อม - ADJ),neg,-0.7594855305466238
(สถานที่อยู่อาศัย - VERB),neg,-0.7588424437299035
(เข็น - VERB),neg,-0.7581993569131833
(โซน - ADJ),neg,-0.757556270096463
(หลับ - ADJ),neg,-0.7569131832797428
(ไกด์ - VERB),neg,-0.7562700964630225
(ที่สระ - ADV),neg,-0.7556270096463023
(บล็อก - VERB),neg,-0.754983922829582
(สบายใจ - VERB),neg,-0.7543408360128617
(ปะ - VERB),neg,-0.7536977491961415
(แหวก - VERB),neg,-0.7530546623794212
(เข้ม - ADJ),neg,-0.752411575562701
(โน้ม - VERB),neg,-0.7517684887459807
(คาสิโน - VERB),neg,-0.7511254019292605
(จราจร - ADV),neg,-0.7504823151125402
(สุ่ม - ADJ),neg,-0.74983922829582
(parasailors - VERB),neg,-0.7491961414790996
(แปลง - VERB),neg,-0.7485530546623794
(เบียร์ - ADJ),neg,-0.7479099678456592
(ลืม - ADJ),neg,-0.7472668810289389
(ดั้งเดิม - ADV),neg,-0.7466237942122187
(เข็มฉีด - VERB),neg,-0.7459807073954984
(สิทธิ์ - VERB),neg,-0.7453376205787782
(นอน - ADJ),neg,-0.7446945337620579
(ช็อปปิ้ง - ADV),neg,-0.7440514469453376
(ยินดี - ADV),neg,-0.7434083601286173
(เดอะมาเฟียแท็กซี่ - VERB),neg,-0.7427652733118971
(ตกลอง - VERB),neg,-0.7421221864951768
(รวบรวม - VERB),neg,-0.7414790996784566
(ลอนดอน - ADJ),neg,-0.7408360128617363
(ดำเนินการ - VERB),neg,-0.7401929260450161
(โบย - ADV),neg,-0.7395498392282959
(ขวา - VERB),neg,-0.7389067524115756
(เขตร้อน - VERB),neg,-0.7382636655948553
(funtionable - ADJ),neg,-0.737620578778135
(คริสตัลใส - VERB),neg,-0.7369774919614148
(เลข - VERB),neg,-0.7363344051446945
(ถนนใหญ่ - VERB),neg,-0.7356913183279743
(ปรุง - VERB),neg,-0.735048231511254
(คอนโด - ADJ),neg,-0.7344051446945338
(เทียน - VERB),neg,-0.7337620578778135
(อมา - ADJ),neg,-0.7331189710610932
(สะดวก - ADJ),neg,-0.732475884244373
(มือ - ADJ),neg,-0.7318327974276527
(ตั๋ว - ADV),neg,-0.7311897106109325
(หนัก - ADV),neg,-0.7305466237942122
(ตื่น - ADJ),neg,-0.729903536977492
(มือ - ADV),neg,-0.7292604501607717
(เหยื่อ - VERB),neg,-0.7286173633440515
(จอด - ADJ),neg,-0.7279742765273312
(คลื่นใหญ่ - ADJ),neg,-0.727331189710611
(เกาะกูดเกาะสมุย - VERB),neg,-0.7266881028938906
(ตาแทน - VERB),neg,-0.7260450160771704
(คุณซื้อ - ADJ),neg,-0.7254019292604501
(ปัก - VERB),neg,-0.7247588424437299
(ส่งเสริม - VERB),neg,-0.7241157556270097
(ปาตงมัน - VERB),neg,-0.7234726688102894
(badgering - VERB),neg,-0.7228295819935692
(แผงขาย - VERB),neg,-0.7221864951768489
(ปกป้อง - VERB),neg,-0.7215434083601286
(ต้ม - VERB),neg,-0.7209003215434083
(starbucks - VERB),neg,-0.7202572347266881
(กิ๊ก - VERB),neg,-0.7196141479099678
(สระ - ADV),neg,-0.7189710610932476
(เน่าดิบ - VERB),neg,-0.7183279742765273
(แก้ตัว - ADJ),neg,-0.7176848874598071
(จิบ - ADV),neg,-0.7170418006430869
(แออัด - ADJ),neg,-0.7163987138263666
(ตุ๊กตุ๊กมาเฟีย - VERB),neg,-0.7157556270096463
(แผ่นดิน - VERB),neg,-0.715112540192926
(รส - ADJ),neg,-0.7144694533762058
(เชือก - ADJ),neg,-0.7138263665594855
(ไดรฟ์ - ADV),neg,-0.7131832797427653
(โต้แย้ง - VERB),neg,-0.712540192926045
(คลินิก - ADV),neg,-0.7118971061093248
(ซ้ำ - VERB),neg,-0.7112540192926045
(พลาสติก - ADJ),neg,-0.7106109324758842
(ล่ม - ADV),neg,-0.7099678456591639
(คุณค้นคว้า - ADJ),neg,-0.7093247588424437
(beachit - ADV),neg,-0.7086816720257235
(คุณสมัคร - VERB),neg,-0.7080385852090032
(ยานพาหนะ - VERB),neg,-0.707395498392283
(กรด - VERB),neg,-0.7067524115755627
(คุณแบล็คพูล - VERB),neg,-0.7061093247588425
(เต็นท์ - ADV),neg,-0.7054662379421222
(คุณมี - ADJ),neg,-0.704823151125402
(โกลาหล - ADJ),neg,-0.7041800643086816
(อพยพ - ADV),neg,-0.7035369774919614
(คุณซื้อ - VERB),neg,-0.7028938906752411
(ตา - ADV),neg,-0.7022508038585209
(คุณเศร้าโศก - VERB),neg,-0.7016077170418007
(คุณโต้เถียง - ADJ),neg,-0.7009646302250804
(เนปาล - ADJ),neg,-0.7003215434083602
(ผ้าใบ - VERB),neg,-0.6996784565916399
(คุณประหยัด - VERB),neg,-0.6990353697749196
(บางอย่าง - VERB),neg,-0.6983922829581993
(จำแทน - VERB),neg,-0.6977491961414791
(โอ้โห - VERB),neg,-0.6971061093247588
(ด้าม - VERB),neg,-0.6964630225080386
(ค้าต่าง - VERB),neg,-0.6958199356913183
(กัมพูชา - VERB),neg,-0.6951768488745981
(หอม - VERB),neg,-0.6945337620578779
(กลน้ำ - VERB),neg,-0.6938906752411576
(อ่าวมายา - ADJ),neg,-0.6932475884244373
(ตัวอย่าง - ADJ),neg,-0.692604501607717
(กร่ม - VERB),neg,-0.6919614147909968
(คุณพัฒน์พงษ์ - VERB),neg,-0.6913183279742765
(ยื่น - ADJ),neg,-0.6906752411575563
(เครียด - VERB),neg,-0.690032154340836
(ปลอม - VERB),neg,-0.6893890675241158
(ไล่ล่า - VERB),neg,-0.6887459807073955
(มลพิษ - VERB),neg,-0.6881028938906752
(waikiki - VERB),neg,-0.6874598070739549
(แสง - ADJ),neg,-0.6868167202572347
(ล่อ - VERB),neg,-0.6861736334405145
(ม็อบ - ADV),neg,-0.6855305466237942
